Competition,Home Team,Away Team,Date,Venue,Home Score,Away Score
Allianz Hurling League Roinn 3,London,Mayo,29/03/2025,"Manguard Park, Hawkfield, Kildare",1-8,0-14
Allianz Hurling League Roinn 4,Fermanagh,Louth,29/03/2025,"St Mellans Park, Truagh, Co. Monaghan",1-8,0-16
Allianz Hurling League Roinn 4,Donegal,Down,30/03/2025,GAA Centre Convoy,1-11,1-18
Allianz Hurling League Roinn 4,Mayo,Tyrone,30/03/2025,Ballina Stephenites,3-14,3-24
Allianz Hurling League Roinn 4,Fermanagh,Louth,30/03/2025,"St. Patrick's Lisbellaw Hurling Club, Enniskillen",1-6,2-10
Allianz Hurling League Roinn 4,Monaghan,Cavan,30/03/2025,"Cloghan, Entekra COE",4-22,3-7
Allianz Football League Roinn 1,Kerry,Mayo,30/03/2025,P�irc an Chr�caigh,1-18,1-12
Allianz Football League Roinn 3,Kildare,Offaly,30/03/2025,P�irc an Chr�caigh,1-18,2-17
Connacht GAA Football Senior Championship,London,Roscommon,05/04/2025,"McGovern Park, Ruislip",0-13,2-26
Leinster GAA Football Senior Championship,Wexford,Laois,05/04/2025,Chadwicks Wexford Park,2-11,2-21
Munster GAA Football Senior Championship,Tipperary,Waterford,05/04/2025,"FBD Semple Stadium, Thurles",1-22,1-19
Munster GAA Football Senior Championship,Limerick,Cork,05/04/2025,TUS Gaelic Grounds,0-13,0-24
GAA Hurling All-Ireland U20B Championship - Richie McElligott Cup,Tyrone,Wicklow,05/04/2025,"Protection & Prosperity Louth GAA Training Centre, Darver",4-9,2-10
GAA Hurling All-Ireland U20B Championship - Richie McElligott Cup,Derry,Down,05/04/2025,Owenbeg,2-16,4-15
GAA Hurling All-Ireland U20C Championship - Andrew O'Neill Cup,Monaghan,Longford,05/04/2025,"Cloghan, Entekra COE",4-10,3-12
GAA Hurling All-Ireland U20C Championship - Andrew O'Neill Cup,Armagh,Louth,05/04/2025,"BOX-IT Athletic Grounds, Armagh",4-19,0-9
Connacht GAA Football Senior Championship,Mayo,Sligo,06/04/2025,"Hastings Insurance MacHale Park, Castlebar",2-20,2-17
Connacht GAA Football Senior Championship,New York,Galway,06/04/2025,"Gaelic Park, New York",0-20,3-28
Leinster GAA Football Senior Championship,Meath,Carlow,06/04/2025,"Páirc Tailteann, Navan",1-30,0-19
Leinster GAA Football Senior Championship,Longford,Wicklow,06/04/2025,Glennon Brothers Pearse Park,1-20,2-23
Ulster GAA Football Senior Championship,Donegal,Derry,06/04/2025,Ballybofey,1-25,1-15
Allianz Hurling League Roinn 1A,Cork,Tipperary,06/04/2025,"SuperValu Páirc Uí Chaoimh, Cork",3-24,0-23
